dataset,seed,mae,r2,pearson
HigherEd,34,1.7790142028626033,0.1295945569386374,0.4637513762105259
HigherEd,35,1.984028054574756,-0.1161130873952571,0.3704858379778644
HigherEd,36,1.6906822141465854,0.0775370921803849,0.4495677653164754
HigherEd,37,2.068842587408851,-0.0343098080253698,0.4445936826387641
HigherEd,38,1.7871239547429274,-0.0402141507281748,0.4310875724556979
HigherEd,39,1.4011568794052085,0.2316554889495032,0.5105863922458428
HigherEd,40,1.5611233660440982,0.2714063570914441,0.5811107146384157
HigherEd,41,1.7085994130880289,0.1862220686800102,0.5822918013866727
HigherEd,42,1.8466608315283768,-0.0857015648097174,0.2510763325876026
HigherEd,43,1.4377644288987306,0.377147928543375,0.6281852848204691
HigherEd,44,1.5345489608649965,0.2675062734743079,0.5604098397757915
HigherEd,45,1.8157462990072075,-0.1215066155500346,0.4911995197023233
HigherEd,46,1.594287019767305,0.1483442088471518,0.5124706280735958
HigherEd,47,1.7035535903042485,0.2498171720289792,0.5170246188485262
HigherEd,48,1.35057944805217,0.1656882674598053,0.5885864375020202
HigherEd,49,1.2499980216248692,0.4192845787310642,0.6509270572148439
HigherEd,50,1.8637238355449088,-0.4418631228520471,0.5225665487025469
HigherEd,51,1.6064793417794854,0.2017704514546182,0.5170154154089496
HigherEd,52,2.101703264729204,-0.5145809157724293,0.2725037402228585
HigherEd,53,1.8034943852956649,0.1536108098861689,0.4647295169012372
HigherEd,54,1.6692150814210118,0.069787803595914,0.399738961859367
HigherEd,55,1.4258363374647425,0.2654635361740937,0.6022866832181492
HigherEd,56,1.3702689609471548,0.3826124608859176,0.6329821620691869
HigherEd,57,1.9190400568124704,-0.8951072656353387,0.2619640285352541
HigherEd,58,1.6170116114646105,-0.2373189131447064,0.5072047462989573
HigherEd,59,1.7659826495517073,0.1329494441863196,0.5189482048169822
HigherEd,60,1.7726617162244365,-0.0867500960869531,0.4806489534058296
HigherEd,61,1.764439279246888,0.2689903766721194,0.544702527771201
HigherEd,62,1.7031406036022418,0.0460191427445941,0.4822379949853858
HigherEd,63,1.8681300156054803,-0.1643870072508417,0.2679046036244626
HigherEd,64,1.8044876500585016,-0.0149637352008207,0.3866299082566829
HigherEd,65,2.0900421455835945,-0.3438552946489097,0.1749175983388609
HigherEd,66,1.637928357166644,0.1209191045605633,0.542161509049848
HigherEd,67,1.7143263754403557,0.15341886550629,0.5099762565948375
HigherEd,68,1.4572651330973805,0.2823114605433313,0.5912996751184941
HigherEd,69,1.6999327159184083,0.0807055514980136,0.4371681850820691
